# scripts/resource-baseline.tsv — baseline de vereditos de sources[].resource
#
# ESTE ARQUIVO E O BASELINE. Nao e uma captura da saida do validador: e a regua,
# escrita a mao a partir da regra de classificacao decidida (ver classificar_recurso
# em scripts/validar-okf.py e o perfil OKF no SCHEMA.md). Por ser dado versionado, e
# nao outra revisao do mesmo codigo, ele nao se anula depois do merge — que e o que
# aconteceria com um harness que lesse o validador de `git show origin/main:`.
#
# Lido por scripts/resource-baseline-check.py, chamado por
# tests/test-resource-baseline.sh.
#
# FORMATO — colunas separadas por TAB, comentarios com '#':
#   @fixture<TAB>file|dir<TAB>caminho     arquivo/diretorio criado na raiz sintetica
#   pass|fail<TAB>valor<TAB>origem        veredito esperado para esse resource
#
# 'fail' = validar_recurso devolve mensagem de erro. 'pass' = devolve None.
# A coluna 'origem' e obrigatoria e nao pode ser vazia: nenhuma linha entra nem
# muda de veredito sem o motivo escrito ao lado dela.
#
# COMO MUDAR ESTE ARQUIVO DE PROPOSITO (afrouxar uma checagem legitimamente)
#   1. Mude a regra: classificar_recurso em scripts/validar-okf.py e o perfil OKF
#      no SCHEMA.md, com a medicao que a justifica.
#   2. Edite AQUI, a mao, uma linha por vez, trocando o veredito E reescrevendo a
#      coluna 'origem' para citar o que autoriza a mudanca.
#   3. O diff mostra exatamente quantos vereditos afrouxaram. E esse numero que o
#      revisor confere contra a regra.
#
# NAO EXISTE --update, --bless NEM REGENERADOR, e a ausencia e deliberada: no
# instante em que recarimbar a saida atual custa um comando, afrouxar quatro
# valores passa a custar o mesmo que afrouxar um, e o diff deixa de dizer quanto
# a regua andou.
#
# Os quatro valores que regrediram de fato na rodada 1 da j-20260903-08 sao
# canarios e estao fixados em CANARIOS, dentro de resource-baseline-check.py:
# apaga-los daqui reprova o script.

# --- fixtures: o que existe na raiz sintetica durante a checagem ---
pass	slack	harness j-20260903-08; descritor de escopo de uma palavra
pass	2026	harness j-20260903-08; descritor numerico
pass	v2.0	extensao tem de comecar por letra, senao v2.0 viraria caminho

# --- Descritores de escopo — a terceira forma do perfil OKF ---
pass	todas as sessoes de 2026	cenario A2 da regra de classificacao
pass	todas as sessões de 2026	cenario A2 da regra, com acento (forma escrita no SCHEMA)
pass	edicoes de 2026 Q3	mitigacao do falso positivo — descritor sem barra
fail	2026/Q3	descritor com barra reprova. Falso positivo assumido
fail	edições de 2026/Q3	vale tambem para descritor com barra E espaco
fail	todas/as sessoes de 2026	o caso que a alternativa F protegeria e a regra escolhida nao

# --- Externos — esquema de URI vence a forma de caminho, e nada e resolvido ---
pass	https://example.com/doc.pdf	cenario A3 da regra de classificacao
pass	http://x.y/z	harness j-20260903-08
pass	ftp://example.com/doc.pdf	cenario A3b: esquema generico, nao http(s) literal
pass	mailto:a@b.c	harness j-20260903-08; esquema sem //
pass	file:///etc/passwd	esquema vence a checagem de raiz; fixa a precedencia entre as duas regras
pass	https://example.com/a b.md	URL com espaco continua externa: o espaco saiu da regra
pass	C:\notas.md	quirk conhecido: letra de unidade casa ^[a-zA-Z][...]*: e vira externo
# --- Fora da raiz do repositorio — apertado na rodada 2 da j-20260903-08 ---
fail	/etc/passwd	cenario A10; dava VALIDACAO: PASS antes da correcao
fail	../README.md	cenario A11
fail	/etc	absoluto que existe em qualquer host: reprova por conter, nao por existir
fail	raw/../../etc/passwd	relativo que sobe acima da raiz depois de descer
fail	~/notas.md	til nao e expandido por pathlib: vira caminho inexistente dentro da raiz

# --- Caminhos locais que EXISTEM na fixture — a regra nao pode ter apertado demais ---
pass	raw/existe-okf.md	cenario A4
pass	anexos/existe-okf.md	cenario A4: prefixo fora da lista antiga, mas o arquivo existe
pass	raw/meetings/notas com espaco existente.md	cenario A8c: caminho com espaco que existe passa
pass	wiki/_meta/existe.md	caminho sob o vault que existe
pass	raw/dir-existente	a regra checa existencia, nao tipo
pass	./raw/existe-okf.md	forma normalizada pelo resolve(): continua dentro da raiz
pass	raw/../raw/existe-okf.md	sobe e volta sem sair da raiz: contido, logo checado por existencia
